,Stock Symbol,Period Type,Fiscal Period,Revenue per Share,EBITDA per Share,EBIT per Share,Earnings per Share (Diluted),EPS without NRI,Owner Earnings per Share (TTM),Free Cash Flow per Share,Operating Cash Flow per Share,Dividends per Share,Book Value per Share,Tangible Book per Share,Total Debt per Share,Month End Stock Price,ROE %,ROE % Adjusted to Book Value,ROA %,ROC (Joel Greenblatt) %,ROIC %,WACC %,Effective Interest Rate on Debt %,Gross Margin %,Operating Margin %,Net Margin %,FCF Margin %,Debt-to-Equity,Equity-to-Asset,Debt-to-Asset,Gross-Profit-to-Asset %,Asset Turnover,Dividend Payout Ratio,Days Sales Outstanding,Days Payable,Days Inventory,Cash Conversion Cycle,Inventory Turnover,COGS-to-Revenue,Inventory-to-Revenue,Revenue,Cost of Goods Sold,Gross Profit,"Selling, General, & Admin. Expense",Advertising,Research & Development,Other Operating Expense,Operating Income,Interest Income,Interest Expense,Net Interest Income,Other Income (Expense),Other Income (Minority Interest),Pre-Tax Income,Tax Provision,Tax Rate %,Net Income (Continuing Operations),Net Income (Discontinued Operations),Net Income,Preferred Dividends,EPS (Basic),EPS (Diluted),Shares Outstanding (Diluted Average),"Depreciation, Depletion and Amortization",EBITDA,Cash And Cash Equivalents,Marketable Securities,"Cash, Cash Equivalents, Marketable Securities",Accounts Receivable,Notes Receivable,Other Current Receivables,Total Receivables,"Inventories, Raw Materials & Components","Inventories, Work In Process","Inventories, Inventories Adjustments","Inventories, Finished Goods","Inventories, Other",Total Inventories,Other Current Assets,Total Current Assets,Investments And Advances,Land And Improvements,Buildings And Improvements,"Machinery, Furniture, Equipment",Construction In Progress,"Gross Property, Plant and Equipment",Accumulated Depreciation,"Property, Plant and Equipment",Intangible Assets,Goodwill,Other Long Term Assets,Total Assets,Accounts Payable,Total Tax Payable,Other Current Payables,Current Accrued Expense,Accounts Payable & Accrued Expense,Current Portion of Long-Term Debt,Current Deferred Revenue,Current Deferred Taxes Liabilities,DeferredTaxAndRevenue,Other Current Liabilities,Total Current Liabilities,Long-Term Debt,Capital Lease Obligation,Long-Term Debt & Capital Lease Obligation,PensionAndRetirementBenefit,NonCurrent Deferred Liabilities,Minority Interest,Other Long-Term Liabilities,Total Liabilities,Common Stock,Preferred Stock,Retained Earnings,Accumulated other comprehensive income (loss),Additional Paid-In Capital,Treasury Stock,Total Equity,Net Foreign Currency Exchange Gain,Net Income From Continuing Operations,Change In Receivables,Change In Inventory,Change In Prepaid Assets,Change In Payables And Accrued Expense,Change In Working Capital,Change In DeferredTax,Stock Based Compensation,Cash Flow from Discontinued Operations,Cash Flow from Others,Cash Flow from Operations,"Purchase Of Property, Plant, Equipment","Sale Of Property, Plant, Equipment",Purchase Of Business,Sale Of Business,Purchase Of Investment,Sale Of Investment,Net Intangibles Purchase And Sale,Cash From Discontinued Investing Activities,Cash From Other Investing Activities,Cash Flow from Investing,Issuance of Stock,Repurchase of Stock,Net Issuance of Preferred Stock,Net Issuance of Debt,Cash Flow for Dividends,Other Financing,Cash Flow from Financing,Net Change in Cash,Capital Expenditure,Free Cash Flow,PE Ratio,Price-to-Owner-Earnings,PB Ratio,Price-to-Tangible-Book,Price-to-Free-Cash-Flow,Price-to-Operating-Cash-Flow,PS Ratio,PEG Ratio,EV-to-Revenue,EV-to-EBITDA,EV-to-EBIT,Earnings Yield (Joel Greenblatt) %,Forward Rate of Return (Yacktman) %,Shiller PE Ratio,Dividend Yield %,Market Cap,Enterprise Value,Net Cash per Share,Net Current Asset Value,Net-Net Working Capital,Intrinsic Value: Projected FCF,Median PS Value,Peter Lynch Fair Value,Graham Number,Earnings Power Value (EPV),Altman Z-Score,Piotroski F-Score,Beneish M-Score,Scaled Net Operating Assets,Sloan Ratio %,Current Ratio,Quick Ratio,Interest Coverage,Highest Stock Price,Lowest Stock Price,Shares Buyback Ratio %,YoY Rev. per Sh. Growth,YoY EPS Growth,YoY EBITDA Growth,5-Year EBITDA Growth Rate,Shares Outstanding (Basic Average),Shares Outstanding (EOP),Beta,Filing Date,Restated Filing Date,Number of Shareholders,Number of Employees,Debt Ratio,Long Term Funds To Fixed Assets,Cash Return
0,NAS:SAFM,A,Oct14,123.65,19.89,17.02,10.80,10.80,9.69,6.01,13.66,0.82,38.82,38.82,0.87,83.98,31.74,14.69,24.47,51.40,36.36,4.31,8.56,18.77,13.76,8.98,4.86,0.02,0.81,0.02,51.18,2.73,0.08,15.56,7.89,32.12,39.79,11.36,0.81,0.07,2775.00,2254.00,521.00,139.00,0.00,0.00,0.00,382.00,0.00,-3.00,-3.00,0.00,0.00,379.00,-130.00,34.37,249.00,0.00,249.00,7.00,10.80,10.80,22.40,64.00,446.00,166.00,0.00,166.00,118.00,0.00,0.00,118.00,44.00,24.00,0.00,122.00,0.00,191.00,36.00,511.00,0.00,551.00,0.00,634.00,0.00,1185.00,-589.00,596.00,0.00,0.00,4.00,1111.00,49.00,27.00,0.00,62.00,137.00,10.00,0.00,0.00,0.00,-0.00,148.00,10.00,0.00,10.00,0.00,46.00,0.00,10.00,213.00,23.00,0.00,725.00,0.00,150.00,0.00,898.00,0.00,249.00,1.00,15.00,-3.00,-23.00,-9.00,-10.00,12.00,0.00,-0.00,306.00,-172.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-171.00,1.00,-7.00,0.00,-10.00,-30.00,-9.00,-55.00,80.00,-172.00,135.00,7.78,8.67,2.16,2.16,13.97,6.15,0.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1881.15,1725.15,0.00,0.00,6.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.45,2.16,127.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.19,1.52,0.08
1,NAS:SAFM,A,Oct15,126.04,18.47,15.12,9.52,9.52,9.21,6.39,13.51,0.88,45.73,45.73,0.44,69.51,21.98,14.46,18.32,40.03,27.23,8.01,14.24,17.52,11.99,7.70,5.07,0.01,0.83,0.01,41.65,2.38,0.09,14.70,9.92,30.75,35.53,11.87,0.82,0.07,2803.00,2312.00,491.00,155.00,0.00,0.00,0.00,336.00,0.00,-2.00,-2.00,0.00,0.00,334.00,-118.00,35.35,216.00,0.00,216.00,4.00,9.52,9.52,22.20,75.00,411.00,197.00,0.00,197.00,113.00,0.00,16.00,129.00,45.00,10.00,0.00,144.00,0.00,199.00,33.00,558.00,0.00,570.00,0.00,748.00,0.00,1319.00,-636.00,682.00,0.00,0.00,6.00,1247.00,63.00,7.00,0.00,81.00,151.00,10.00,0.00,0.00,0.00,0.00,161.00,0.00,0.00,0.00,0.00,0.00,0.00,56.00,217.00,23.00,0.00,896.00,0.00,112.00,0.00,1030.00,0.00,216.00,5.00,-8.00,-1.00,-7.00,-11.00,5.00,16.00,0.00,0.00,300.00,-158.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-157.00,1.00,-70.00,0.00,-10.00,-31.00,-2.00,-112.00,31.00,-158.00,142.00,7.30,7.55,1.52,1.52,10.88,5.15,0.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1543.12,1346.12,0.00,0.00,7.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.47,2.23,168.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.17,1.51,0.10
2,NAS:SAFM,A,Oct16,126.71,17.05,13.25,8.37,8.37,8.00,4.31,13.35,0.90,52.46,52.46,0.00,89.98,16.76,9.74,14.16,30.81,21.11,4.76,34.16,16.12,10.44,6.71,3.40,0.00,0.84,0.00,34.01,2.11,0.11,16.12,11.25,32.38,37.25,11.27,0.84,0.07,2816.00,2362.00,454.00,160.00,0.00,0.00,0.00,294.00,0.00,-2.00,-1.00,0.00,0.00,293.00,-104.00,35.44,189.00,0.00,189.00,0.00,8.37,8.37,22.20,85.00,379.00,234.00,0.00,234.00,124.00,0.00,0.00,124.00,61.00,15.00,0.00,144.00,0.00,220.00,35.00,613.00,0.00,579.00,0.00,794.00,133.00,1506.00,-702.00,804.00,0.00,0.00,5.00,1423.00,73.00,26.00,0.00,49.00,148.00,0.00,0.00,0.00,0.00,0.00,148.00,0.00,0.00,0.00,0.00,76.00,0.00,9.00,232.00,23.00,0.00,1042.00,0.00,126.00,0.00,1190.00,0.00,189.00,-12.00,-22.00,-1.00,13.00,-21.00,28.00,16.00,0.00,0.00,297.00,-201.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-200.00,1.00,-7.00,0.00,-10.00,-43.00,0.00,-59.00,37.00,-201.00,96.00,10.75,11.25,1.72,1.72,20.88,6.74,0.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1997.56,1763.56,0.00,0.00,9.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.14,2.66,147.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.16,1.48,0.05
3,NAS:SAFM,A,Oct17,149.25,23.52,19.04,12.30,12.30,12.00,10.82,18.26,1.04,62.85,62.85,0.00,149.57,21.00,8.82,17.73,39.79,28.45,4.14,0.00,19.20,12.72,8.37,7.25,0.00,0.83,0.00,40.66,2.12,0.09,15.17,12.29,31.97,34.85,11.42,0.81,0.07,3342.00,2701.00,642.00,216.00,0.00,0.00,0.00,425.00,1.00,-2.00,-1.00,0.00,0.00,425.00,-145.00,34.10,280.00,0.00,280.00,0.00,12.30,12.30,22.40,100.00,527.00,419.00,0.00,419.00,139.00,0.00,0.00,139.00,53.00,38.00,0.00,162.00,0.00,253.00,39.00,850.00,0.00,686.00,0.00,906.00,65.00,1657.00,-780.00,877.00,0.00,0.00,7.00,1733.00,91.00,16.00,0.00,92.00,199.00,0.00,0.00,0.00,0.00,0.00,199.00,0.00,0.00,0.00,0.00,92.00,0.00,10.00,300.00,23.00,0.00,1275.00,0.00,135.00,0.00,1433.00,0.00,280.00,-15.00,-32.00,-4.00,47.00,-5.00,16.00,17.00,0.00,1.00,409.00,-167.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-166.00,1.00,-10.00,0.00,0.00,-46.00,-2.00,-58.00,185.00,-167.00,242.00,12.16,12.46,2.38,2.38,13.82,8.19,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3350.37,2931.37,0.00,0.00,15.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.27,3.00,212.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.17,1.63,0.08
4,NAS:SAFM,A,TTM,152.80,22.87,18.21,13.47,13.47,10.92,9.93,17.61,1.12,64.75,64.75,0.00,113.51,22.29,13.11,18.85,36.70,30.03,3.16,0.00,18.37,11.87,8.96,6.49,0.00,0.86,0.00,38.66,2.10,0.08,14.28,13.70,32.19,32.77,11.34,0.82,0.07,3426.00,2796.00,629.00,223.00,9.00,0.00,-9.00,407.00,1.00,-2.00,-1.00,0.00,0.00,406.00,-99.00,24.43,307.00,0.00,307.00,1.00,13.47,13.47,22.50,104.00,512.00,389.00,0.00,389.00,134.00,0.00,0.00,134.00,56.00,32.00,0.00,165.00,0.00,253.00,43.00,820.00,0.00,686.00,0.00,906.00,65.00,1700.00,-804.00,896.00,0.00,0.00,7.00,1722.00,105.00,7.00,7.00,57.00,176.00,0.00,0.00,0.00,0.00,0.00,176.00,0.00,0.00,0.00,0.00,58.00,0.00,10.00,244.00,23.00,0.00,1319.00,0.00,137.00,0.00,1478.00,0.00,307.00,1.00,-17.00,-6.00,16.00,-6.00,-30.00,18.00,0.00,1.00,394.00,-172.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-171.00,1.00,-13.00,0.00,0.00,0.00,-49.00,-60.00,163.00,-172.00,222.00,8.43,10.39,1.75,1.75,11.43,6.45,0.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2553.97,2164.97,0.00,0.00,16.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.66,3.22,203.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14,1.65,0.10
5,NAS:SAFM,Q,Jan17,30.76,2.62,1.61,1.06,1.06,10.22,-0.30,1.76,0.24,53.37,53.37,0.00,91.00,8.00,4.68,6.69,13.68,9.95,4.88,0.00,11.91,5.21,3.49,-0.99,0.00,0.84,0.00,22.81,0.48,0.23,15.33,12.92,34.36,36.77,2.66,0.88,0.33,688.00,606.00,82.00,46.00,9.00,0.00,-9.00,36.00,0.00,0.00,0.00,0.00,0.00,36.00,-12.00,32.61,24.00,0.00,24.00,0.00,1.06,1.06,22.40,23.00,59.00,226.00,0.00,226.00,116.00,0.00,4.00,120.00,44.00,35.00,0.00,157.00,0.00,236.00,38.00,620.00,0.00,0.00,0.00,0.00,0.00,1548.00,-722.00,827.00,0.00,0.00,5.00,1452.00,86.00,0.00,5.00,50.00,142.00,0.00,0.00,0.00,0.00,0.00,142.00,0.00,0.00,0.00,0.00,88.00,0.00,9.00,238.00,23.00,0.00,1059.00,0.00,131.00,0.00,1214.00,0.00,24.00,-12.00,-16.00,-3.00,6.00,-25.00,12.00,6.00,0.00,-0.00,39.00,-46.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-46.00,0.00,-2.00,0.00,0.00,0.00,0.00,-2.00,-8.00,-46.00,-7.00,0.00,8.90,1.71,1.71,-303.33,51.70,2.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2038.40,1812.40,0.00,0.00,8.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.37,2.70,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.16,1.47,-0.00
6,NAS:SAFM,Q,Apr17,35.81,5.70,4.62,2.94,2.94,8.05,1.20,3.45,0.24,56.26,56.26,0.00,115.78,21.16,10.27,18.03,37.48,26.53,4.71,0.00,18.30,12.86,8.35,3.36,0.00,0.84,0.00,39.52,0.54,0.08,15.76,10.52,32.80,38.04,2.78,0.82,0.29,802.00,655.00,147.00,44.00,0.00,0.00,0.00,103.00,0.00,0.00,0.00,0.00,0.00,103.00,-36.00,35.00,67.00,0.00,67.00,1.00,2.94,2.94,22.40,24.00,128.00,246.00,0.00,246.00,139.00,0.00,0.00,139.00,57.00,19.00,0.00,159.00,-0.00,235.00,42.00,662.00,0.00,0.00,0.00,0.00,0.00,1594.00,-744.00,850.00,0.00,0.00,7.00,1519.00,76.00,2.00,5.00,50.00,133.00,0.00,0.00,0.00,0.00,0.00,133.00,0.00,0.00,0.00,0.00,97.00,0.00,9.00,240.00,23.00,0.00,1121.00,0.00,136.00,0.00,1279.00,0.00,66.00,-18.00,2.00,-4.00,-5.00,-27.00,10.00,4.00,0.00,0.00,77.00,-50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-50.00,0.00,-1.00,0.00,0.00,0.00,-6.00,-7.00,20.00,-50.00,27.00,0.00,14.38,2.06,2.06,96.48,33.56,3.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2593.47,2347.47,0.00,0.00,10.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.98,3.21,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.16,1.50,0.01
7,NAS:SAFM,Q,Jul17,41.61,9.10,7.93,5.09,5.09,12.55,7.12,8.63,0.24,61.28,61.28,0.00,130.75,34.15,16.03,28.66,63.86,45.74,4.36,0.00,25.68,19.02,12.43,17.10,0.00,0.81,0.00,59.21,0.58,0.05,14.79,10.41,32.34,36.72,2.82,0.74,0.26,932.00,693.00,239.00,62.00,0.00,0.00,0.00,177.00,0.00,-1.00,0.00,0.00,0.00,177.00,-61.00,34.59,116.00,0.00,116.00,0.00,5.09,5.09,22.40,26.00,204.00,398.00,0.00,398.00,151.00,0.00,0.00,151.00,59.00,30.00,0.00,167.00,0.00,256.00,41.00,847.00,0.00,0.00,0.00,0.00,0.00,1626.00,-765.00,861.00,0.00,0.00,7.00,1715.00,79.00,49.00,5.00,83.00,216.00,0.00,0.00,0.00,0.00,0.00,216.00,0.00,0.00,0.00,0.00,95.00,0.00,9.00,321.00,23.00,0.00,1232.00,0.00,139.00,0.00,1394.00,0.00,117.00,34.00,-21.00,0.00,34.00,47.00,-2.00,4.00,0.00,2.00,193.00,-34.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-34.00,0.00,0.00,0.00,0.00,0.00,-8.00,-7.00,152.00,-34.00,159.00,0.00,10.42,2.13,2.13,18.36,15.15,3.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2928.80,2530.80,0.00,0.00,14.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.92,2.74,177.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.19,1.62,0.06
8,NAS:SAFM,Q,Oct17,41.07,6.10,4.88,3.20,3.20,12.00,2.80,4.41,0.32,62.85,62.85,0.00,149.57,20.31,8.53,16.91,39.73,29.06,4.14,0.00,18.86,11.84,7.92,6.81,0.00,0.83,0.00,40.26,0.53,0.10,13.77,11.11,31.11,33.77,2.93,0.81,0.28,920.00,746.00,174.00,65.00,0.00,0.00,0.00,109.00,0.00,-1.00,0.00,0.00,0.00,109.00,-36.00,33.02,73.00,0.00,73.00,0.00,3.20,3.20,22.40,27.00,137.00,419.00,0.00,419.00,139.00,0.00,0.00,139.00,53.00,38.00,0.00,162.00,0.00,253.00,39.00,850.00,0.00,686.00,0.00,906.00,65.00,1657.00,-780.00,877.00,0.00,0.00,7.00,1733.00,91.00,16.00,0.00,92.00,199.00,0.00,0.00,0.00,0.00,0.00,199.00,0.00,0.00,0.00,0.00,92.00,0.00,10.00,300.00,23.00,0.00,1275.00,0.00,135.00,0.00,1433.00,0.00,73.00,-20.00,3.00,3.00,12.00,-1.00,-3.00,4.00,0.00,-1.00,99.00,-36.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-36.00,0.00,-7.00,0.00,0.00,0.00,-35.00,-42.00,21.00,-36.00,63.00,0.00,12.46,2.38,2.38,53.42,33.92,3.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3350.37,2931.37,0.00,0.00,15.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.27,3.00,109.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.17,1.63,0.02
9,NAS:SAFM,Q,Jan18,34.31,1.97,0.79,2.24,2.24,10.92,-1.19,1.11,0.32,64.75,64.75,0.00,126.90,14.07,7.18,11.86,6.27,19.59,3.15,0.00,9.05,2.24,6.63,-3.47,0.00,0.86,0.00,16.17,0.45,0.14,15.85,13.65,32.87,35.07,2.78,0.91,0.33,772.00,702.00,70.00,53.00,9.00,0.00,-9.00,17.00,0.00,-1.00,0.00,0.00,0.00,17.00,34.00,-198.23,51.00,0.00,51.00,0.00,2.24,2.24,22.50,27.00,44.00,389.00,0.00,389.00,134.00,0.00,0.00,134.00,56.00,32.00,0.00,165.00,0.00,253.00,43.00,820.00,0.00,0.00,0.00,0.00,0.00,1700.00,-804.00,896.00,0.00,0.00,7.00,1722.00,105.00,7.00,7.00,57.00,176.00,0.00,0.00,0.00,0.00,0.00,176.00,0.00,0.00,0.00,0.00,58.00,0.00,10.00,244.00,23.00,0.00,1319.00,0.00,137.00,0.00,1478.00,0.00,51.00,5.00,0.00,-5.00,-24.00,-25.00,-34.00,6.00,0.00,0.00,25.00,-52.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-51.00,1.00,-5.00,0.00,0.00,0.00,0.00,-4.00,-30.00,-52.00,-27.00,0.00,11.62,1.96,1.96,-106.64,114.32,3.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2855.25,2466.25,0.00,0.00,16.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.66,3.22,17.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14,1.65,-0.01
0,PPC,A,Dec14,33.08,5.17,4.57,2.74,2.74,2.93,3.45,4.11,0.00,8.47,8.37,0.20,32.79,38.64,9.98,22.72,66.55,44.03,1.42,16.11,16.24,14.02,8.29,10.43,0.02,0.71,0.02,44.51,2.74,0.00,15.79,17.62,40.59,38.76,8.99,0.84,0.09,8583.00,7189.00,1394.00,189.00,0.00,0.00,2.00,1203.00,5.00,-82.00,-77.00,-23.00,0.00,1102.00,-391.00,35.46,711.00,0.00,712.00,0.00,2.75,2.74,259.50,156.00,1340.00,576.00,0.00,576.00,371.00,1.00,22.00,394.00,199.00,363.00,0.00,228.00,0.00,790.00,97.00,1858.00,0.00,67.00,1087.00,1590.00,130.00,2873.00,-1690.00,1183.00,27.00,0.00,24.00,3092.00,347.00,3.00,10.00,289.00,649.00,48.00,0.00,0.00,0.00,23.00,720.00,4.00,0.00,4.00,0.00,74.00,3.00,97.00,898.00,3.00,0.00,591.00,-63.00,1662.00,0.00,2194.00,38.00,711.00,-10.00,11.00,-38.00,120.00,77.00,79.00,5.00,0.00,39.00,1067.00,-171.00,11.00,0.00,0.00,-55.00,152.00,0.00,0.00,0.00,-63.00,0.00,0.00,0.00,-910.00,0.00,5.00,-906.00,68.00,-171.00,895.00,11.97,11.19,3.87,3.92,9.50,7.98,0.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8509.00,7937.00,0.00,0.00,1.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.58,1.48,14.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.29,1.86,0.10
